pH;Dureza;Sólidos;Cloraminas;Sulfatos;Conductividad;Carbono_orgánico;Trihalometanos;Turbidez;Potabilidad
;179.96;22060.19;8.3;;386.42;10.08;69.9;4.96;NO
4.47;120.1;30013.7;6.37;;433.74;8.51;100.23;4.89;NO
9.35;252.15;13137.49;6.17;320.32;349.82;13.11;58.8;3.78;NO
6.86;220.15;23580.66;6.61;285.19;325.72;13.47;89.41;3.81;NO
8.26;208.19;24870.83;4.93;;441.05;19.1;50.66;2.8;NO
8.86;233.63;19550.3;6.52;;285.41;13.09;25.06;2.48;NO
7.5;207.14;39423.67;8.49;325.4;569.57;14.31;;3.36;NO
10.16;243.61;16522.72;3.99;310.85;487.7;17.22;83.87;3.53;NO
;167.47;11532.22;7.71;361.01;625.35;14.15;74.83;4.09;NO
6.04;164.03;9943.64;7.72;350.76;374.79;16.67;65.54;3.92;NO
;183.49;12675.94;9.78;319.87;482.45;13.31;46.85;3.24;NO
6.06;149.12;23603.5;6.54;302.7;393.29;17.62;54.22;4.27;NO
8.01;187.23;49341.42;4.34;300.7;437.33;13.97;;5.29;NO
;193.46;18519.16;8.02;;374.32;13.75;43.74;2.68;NO
7.04;199.6;23951.11;8.23;320.48;419.66;11.96;63.93;4.58;NO
;202.57;22256.95;6.91;304.95;434.2;13.7;64.21;4.48;NO
8.24;212.82;24414.97;5.41;;445.56;12.41;48.56;3.69;NO
6.57;186.94;22723.81;6.21;330.79;385.02;12.06;72.6;4.98;NO
7.34;188.85;30042.93;7.47;309.61;465.5;11.05;47.18;3.74;NO
4.85;146.63;20227.64;6.34;368.94;346.52;15.27;56.99;3.64;NO
6.92;223.33;17862.14;8;299.4;428.95;12.23;68.84;2.69;NO
6.71;226.43;8238.29;7.69;289.92;284.77;11.87;51.88;4.07;NO
6.89;170.57;17475.47;5.19;363.31;641.59;17.18;40.92;4.57;NO
9.86;278.08;12978.2;6.91;319.38;486.64;14.35;84.8;3.7;NO
;210.2;26894.14;4.31;329.15;344.52;15.11;;4.9;NO
8.04;233.86;8201.36;8.29;;461.21;12.88;68.75;3.83;NO
9.82;218.02;15120.92;3.12;;498.93;14.84;42.17;3.23;NO
10.89;283.9;15177.22;4.66;334.18;420.61;12.7;72.1;4;NO
9.83;263.63;13345.37;6.57;295.77;462.44;12;76.02;3.31;NO
6.53;176.94;18533.34;6.08;336.3;491.48;13.53;96.94;4.06;NO
4.09;146.79;24252.46;7.25;282.69;482.29;10.61;70.07;5.95;NO
;197.71;12962.39;6.48;362.72;503.84;18.89;80.35;3.5;NO
;232.86;32600.43;6.7;343.6;447.39;13.9;52.89;3.17;NO
;192.62;36520.66;7.46;;474.15;16.99;82.44;4.32;NO
6.18;193.28;32875.19;10.9;337.51;414.9;13;69.87;3.34;NO
8.74;257.23;12726.3;10.33;356.42;506.38;11.34;69.43;3.37;NO
8.24;245.09;18001.46;9.37;350.61;344.06;13.9;;4.67;NO
9.15;229.54;24560.7;7.04;372.69;395.4;14.25;40.97;3.79;NO
;208.84;11610;6.45;;407.02;7.07;76.38;3.81;NO
6.32;143.3;22577.82;5.69;338.9;573.81;15.32;48.97;3.4;NO
5.69;165.91;22396.21;6.68;309.12;530.07;11.47;;4.68;NO
;201.83;29508.49;3.93;325.06;428.66;8.82;76.37;4.12;NO
;139.96;31421.14;6.63;346.44;378.77;17.54;54.8;4.54;NO
7.19;175.46;34933.78;5.43;332.2;411.3;11.67;60.28;4.32;NO
7.38;188.31;12320.51;5.49;343.24;475.3;17.83;38.34;4.34;NO
6.17;187.79;10498.64;7.72;322.52;467.09;21.23;68.16;4.13;NO
9.08;215.91;14153.64;5.02;333.5;311.8;10.78;69.11;3.44;NO
8.85;222.97;19258.8;5.7;395.73;467.09;10.45;73.78;3.46;NO
6.77;179.81;23793.03;5.33;333.2;461.53;13.56;60.57;4.15;NO
;207.06;30573.07;4.44;341.89;393.51;15.56;81.42;3.11;NO
8.54;183.91;33037.35;2.73;358.56;631.5;17.33;68.18;2.85;NO
9.56;251.81;17156.34;6.25;346.71;410.32;18.63;82.96;3.18;NO
5.5;150.08;43195.47;6.57;322.52;287.29;11.23;71.82;3.67;NO
5.2;175.16;33473.11;8.41;319.25;484.28;16.81;94.36;5.38;NO
7.28;197.6;23112.5;9.5;332.33;449.36;14.46;70;3.57;NO
5.87;185.4;14343.42;9.69;333.56;409.11;14.74;64.18;3.74;NO
5.74;158.32;25363.02;7.73;377.54;568.3;13.63;75.95;4.73;NO
6.16;176.03;26369.03;9.77;347.89;453.71;13.25;61.06;5.08;NO
7.29;191.77;41569.95;5.31;321.32;342.5;13.79;54.46;3.34;NO
7.05;212.43;7450.07;8.73;;396.05;11.38;75.22;4.78;NO
;199.94;25973.33;6.49;336.04;344.97;12.64;46.85;3.15;NO
3.15;142.27;23257.21;8.28;293.16;391.84;8.92;68.32;3.47;NO
5.67;162.89;31883.01;8.31;350.68;550.82;15.63;72.46;4.57;NO
8.31;245.72;7929.5;8.83;373.46;348.62;14.11;84.74;4.41;NO
7.1;206.83;24548.6;5.38;;365.4;12.5;79.3;4.57;NO
7.96;199.11;20425.77;8.17;380.08;333.16;14.54;62.25;3.73;NO
7.4;218.82;8136.07;6.29;310.76;518.73;15.19;50.84;4.88;NO
9.73;244.93;18976.23;4.75;330.64;383.95;14.9;;3.51;NO
8.04;199.21;40368.42;7.31;;293.83;14.25;68.76;3.57;NO
;250.57;24538.44;7.29;345.11;426.1;13.98;60.16;6.1;NO
5.68;151.09;26373.5;5.65;;468.47;8.62;102.25;5.38;NO
8.39;224.35;23961.5;4.72;337.41;476.58;17.21;64.98;3.71;NO
8.53;227.69;27352.34;7.68;350;388.14;12.61;80.19;4.6;NO
6.24;178.3;21919.59;7.09;335.86;287.57;17.46;46.95;3.85;NO
5.87;186.18;18909.85;8.49;328.75;427.18;13.3;52.16;3.73;NO
6.43;176.86;26755.72;6.53;316.54;505.12;21.32;60.13;3.12;NO
6.07;200.92;9323.22;9.39;325.47;450.44;12.42;73.91;4.91;NO
6.66;229.34;9632.73;11.3;326.16;439.12;21.16;40.1;3.67;NO
7.51;188.22;31920.58;5.71;334.24;436.4;15.22;43.36;4.74;NO
5.9;192.04;14704.91;7.91;305.81;429.77;15.02;44.89;5.08;NO
6.45;218.91;12812.56;10.91;;421.3;8.01;79.09;4.07;NO
8.55;209.68;22377.27;2.65;322.16;413.67;13;42.99;4.59;NO
7.12;183.4;31295.9;4.43;;411.62;14.07;77.19;3.75;NO
8.56;214.11;38767.76;6.61;310.01;382.62;15.9;57.2;2.59;NO
4.62;121.04;22981.75;8.3;372.04;260.57;13.05;66.55;3.42;NO
;143.1;19290.57;6.08;370.87;486.06;13.92;63.8;4.12;NO
6.09;192.12;17279.96;8.93;;413.25;12.74;85.03;5.08;NO
9.66;240.35;20269.73;7.05;374.18;567.78;15.59;55.84;4.64;NO
8.12;200.1;15513.01;6.05;;421.06;8.32;53.78;4.41;NO
;209.16;7845.47;7.67;433.69;421.63;16.35;;4.45;NO
6.91;206.25;10343.38;7.77;324.38;521.32;16.17;68.25;2.99;NO
7.34;188.8;24266.52;6.84;326.25;500.39;13.37;65.91;3.94;NO
7.77;212.32;24145.39;7.93;364.08;464.11;15.47;70.11;4.4;NO
8.43;240.08;10823.3;8.42;317.3;426.18;8.08;49.27;3.17;NO
6.89;184.07;13376.68;6.87;333.8;508.68;16.59;81.71;4.96;NO
5.95;190.55;12767.66;8.94;323.74;499.94;12.42;54.1;4.9;NO
6.36;207.42;9844.7;9.77;320.63;466.59;19.16;58.27;4.04;NO
5.33;149.96;19693.91;7.15;336.01;286;14.3;46.11;4.73;NO
;232.6;10634.06;7.56;334.05;542.21;14.01;85.22;4.8;NO
8.47;224.17;22523.12;6.67;286.94;330.04;17.74;77.82;3.95;NO
7.43;192.15;36990.96;5.1;;590.51;18.74;24.73;4.36;NO
11.22;237.58;21871.79;3.07;;374.02;15.8;64.49;5.75;NO
5.71;187.08;12193.61;8.29;351.57;577.4;14.36;;3.34;NO
6.56;152.12;22624.03;7.76;387.52;393.82;10.11;55.29;3.66;NO
5.61;190.34;12308.23;8.55;311.68;399.61;18.52;67.23;3.75;NO
;183.22;20311.4;6.79;381.46;344.97;11.14;71.7;3.89;NO
;187.02;28988.7;5.59;333.22;478.77;15.01;69.81;3.67;NO
;223.89;8722.15;8.57;;375.14;15.43;64.56;3.44;NO
7.54;227.32;12610.94;9.51;345.14;343.24;12.77;82.83;5.11;NO
8.85;197.78;20129.36;5.18;329.5;356.48;11.88;45.71;2.99;NO
7.68;211.66;12723.34;6.67;380.95;360.11;14.18;69.95;5.04;NO
;172.97;24445.99;7.03;;571.63;11.55;56.5;4.73;NO
6.45;181.59;18460.68;8.73;;353.6;13.94;73.99;3.93;NO
10.2;256.7;28703.75;7.94;326.46;552.16;8.8;;4.38;NO
7.77;223.06;14945.3;6.03;;482.41;6.75;83.19;3.67;NO
;191.3;17540.58;8.78;;323.81;19.07;61.56;4.13;NO
9.76;244.46;17940.1;7.15;;337.71;23.67;73.23;3.75;NO
;159.4;61227.2;3.71;312.98;377.07;17.25;82.2;3.86;NO
6.41;182.89;17851.06;7.46;332.49;398.78;17.3;64.07;4.57;NO
;253.05;28864.91;8.52;364.75;479.7;15.82;70.76;4.7;NO
8.45;228.52;28966.57;6.18;;361.71;14.55;60.61;4.4;NO
4.14;116.34;17101.95;8.65;322.89;360.65;7.85;70.98;4.33;NO
7.68;233.3;23673.1;8.41;;232.61;18.46;60.99;5.04;NO
;243.68;20976.79;6.5;350.45;487.56;10.45;84.18;3.56;NO
5.7;170.5;17121.51;9.54;374.78;378.87;10.97;63.29;5.96;NO
6.38;177.51;41243.04;6.67;;486.81;13.49;65.37;4.16;NO
5.52;190.67;17638.32;10.53;;461.93;12.53;44.89;4.52;NO
3.85;131.4;19639.8;7.75;305.38;456.51;16.86;81.53;4.29;NO
7.56;253.84;16642.88;11.22;;555.93;15.15;81.75;4.17;NO
7.39;214.29;11694.64;9.27;375.51;356.81;15.18;80.23;3.83;NO
7.76;193.72;20019.26;8.34;373.6;375.07;11.44;28.99;4.11;NO
;205.55;24820.49;7.23;329.4;386.31;9.22;69.7;4.25;NO
7.51;192.47;17045.6;8.82;346.74;266.36;15.93;83.26;4.32;NO
;119.89;22331.24;8.05;351.16;472.06;16.64;62.65;4.66;NO
5.06;155.49;19003.96;6.25;305.85;518.1;15.77;97.2;4.43;NO
5.83;165.47;30021.26;8.43;334.4;494.15;16.67;69.58;5.19;NO
5.86;163.5;19231.03;6.54;339.37;468.38;19.75;61.79;2.75;NO
8.89;184.87;41801.44;3.41;337.05;461.08;13.72;42.08;4.52;NO
10.15;244.21;24755.96;4.71;299.8;387.59;15.36;70.82;3.73;NO
;227.43;32102.19;3.65;321.67;433.28;11.69;57.05;3.58;NO
7.68;221.58;25475.88;9.91;;372.8;12.05;51.89;4.78;NO
7.46;225.31;16242.06;8.2;350.11;331.67;13.11;60.16;2.93;NO
;217.94;37820.05;8.3;;367.57;15.42;36.45;2.99;NO
4.81;150.45;27547.81;7.57;296;521.56;16.3;44.29;2.86;NO
5.72;182.44;13463.85;8.25;;401.51;13.36;52.95;3.51;NO
9.96;276.7;18743.22;9.16;361.22;457.55;21.56;93.74;5.22;NO
3.23;120.79;13691.09;6.84;328.24;261.44;18.41;54.85;3.28;NO
10.19;286.57;7105.8;9.84;321.69;437.88;12.87;78.73;4.64;NO
6.26;185.98;5157.05;7.8;338.2;570.29;14.6;;4.59;NO
7.4;229.78;28630.95;8.71;302.32;437.37;11.93;78.58;3.8;NO
9.27;256.27;26912.23;5.77;274.65;467.75;12.38;89.9;3.74;NO
4.7;169.94;7028.84;8.99;317.83;289.54;8.07;63.66;4.14;NO
8.65;218.17;14799.31;6.16;366.15;416.87;8.95;72.62;5.15;NO
8.02;228.11;27405.32;6.49;;494.62;8.72;56.19;4.36;NO
8.19;229.61;13197.57;6.01;334.05;605.47;14.86;103.32;3.69;NO
9.34;230.43;18254.11;6.11;;294.58;12.91;91.86;4.6;NO
;228.25;18593.22;5.91;;475.3;13.67;54.49;4.12;NO
4.89;153.51;9559.55;7.85;349.82;496.87;11.46;61.11;3.9;NO
6.06;211.77;4440.28;9.51;;316.92;17.77;53.54;3.36;NO
5.66;146.76;19271.9;6.39;316.5;469.9;11.97;62;4.4;NO
7.89;164.71;17645.07;7.14;;634.12;21.98;33.28;4.64;NO
11.91;298.1;17083.18;5.88;;400.33;14.06;64.37;4.26;NO
8.81;270.21;12138.42;10.52;360.3;437.52;15.95;67.88;5.59;NO
4.13;113.02;40528.81;6.49;;392.11;15.79;68.8;3.5;NO
5.74;149.17;28628.15;5.07;;465.55;12.2;65.91;4.09;NO
8;237.52;18419.13;8.32;308.01;396.38;13.49;82.75;4.52;NO
8.78;191.53;21768.64;4.75;387.25;435.52;11.88;56.03;3.83;NO
8.3;222.95;26030.62;7.11;;368.28;14.38;70.07;3.39;NO
5.08;191.77;17739.2;9.11;309.79;413.16;12.31;88.89;5.06;NO
5.81;184.03;10112.21;6.54;309.45;441.59;11.44;77.51;3.72;NO
3.42;141.3;16017.61;8.21;;580.87;10.6;94.95;3.68;NO
5.91;148.61;14467.79;6.16;;427.04;14.42;56.46;2.5;NO
6.78;236.28;8213.77;9.33;;501.02;11.59;91.68;4.78;NO
6.84;205.67;18321.33;6.71;297.84;494.48;13.81;70.71;4.95;NO
4.88;136.56;28392.42;8.44;;386.1;13.83;73.82;3.62;NO
8.33;238.99;11635.77;3.92;276.4;406.25;15.41;;2.69;NO
7.82;225.11;16403.95;7.09;313.17;413.21;15.38;32.68;2.4;NO
5.43;167.02;24930.2;7.97;334.09;400.39;18.18;70.31;2.85;NO
4.56;156.42;14400.72;9.46;;483.75;7.9;54.91;4.39;NO
7.33;189.45;32358.54;6.35;341.35;490.63;12.54;61.58;2.64;NO
7.11;196.53;27022.71;6.18;;497.52;18.7;59.73;3.76;NO
6.38;170.23;16079.36;5.43;331.86;311.77;15.7;54.01;4.28;NO
9.34;248.38;17416.8;6.67;342.72;505.68;19.74;58.66;1.87;NO
;130.56;17429.58;6.32;322.06;524.65;15.32;75.38;5.54;NO
8.93;278.23;14179.62;8.13;318.36;335.24;16.66;48.36;4.37;NO
10.6;274.97;21558.31;6.11;350.36;331.12;12.61;;5.48;NO
6.84;196.2;11877.24;9.62;365.35;363.8;14.92;41.12;4.78;NO
5.6;183.57;20411.66;9.75;336.4;368.36;11.1;66.82;4.36;NO
6.1;179.4;24196.26;7.16;321.44;525.9;13.48;60.06;2.29;NO
6.49;189.03;30453.62;6.06;297.51;476.92;14.97;47.01;4.37;NO
8.51;197.75;20098.2;6.46;344.13;555.92;9.03;78.93;3.88;NO
7.41;196.45;17465.35;6.31;355.16;300.93;13.18;80.6;3.29;NO
;252.4;20197.25;2.56;350.55;454.97;12.03;69.29;5.15;NO
7.59;190.89;16409.94;5.74;;402.8;13.91;95.38;4.35;NO
7.1;249.59;4425.43;8.21;293.08;268.44;18.42;68.47;4.42;NO
6.15;163.21;48175.85;7.15;299.57;344.72;5.16;55.53;4.82;NO
2.38;129.86;11684.11;9.97;301.43;503.91;8.74;76.31;3.63;NO
7.51;215.44;17017.43;7.42;335.65;483.66;14.53;66.04;4.3;NO
7.45;225.4;24741.53;9.25;;402.12;15.54;87.08;3.64;NO
4.84;136.3;23031.22;5.56;358.93;567.46;11.51;60.77;3.63;NO
8.38;248.13;27824.19;7.1;343.06;433.45;18.66;53.3;5.7;NO
7.95;213.07;16769.89;4.75;292.42;478.17;14.19;82.05;3.59;NO
8.73;202.42;25521.89;3.83;326.91;461.96;16.61;104.37;3.83;NO
6.09;207.27;11339.17;8.89;317.28;531.77;11.67;48.36;4.37;NO
7.17;191.39;14702.06;6.56;313.87;525.03;12.63;108.27;3.08;NO
8.33;236.53;18881.8;4.28;;384.73;15.12;55.51;3.41;NO
;231.97;21460.84;8.67;360.67;375.08;12.18;66.86;3.96;NO
4.56;152.91;13490.61;7.5;338.58;524.11;14.14;69.02;4.83;NO
;181.08;30050.44;7.98;360.09;378.15;17.67;;3.52;NO
3.68;173.68;22581.22;12.65;289.13;599.73;8.39;49.66;5.46;NO
;169.36;23133.66;8.25;337.05;330.36;14.75;58.36;3.52;NO
7.89;208.4;24974.69;7.3;;453.17;12.53;60.44;4.03;NO
5.53;188.16;16113.01;8.31;;363.47;12.09;74.72;4.4;NO
4.86;159.7;32886.53;7.69;;337.39;23.11;76.09;4.13;NO
3.27;145.49;7408.98;12;336.69;433.71;10.46;;4.32;NO
7.12;186.2;31528.95;6.39;335.35;380.58;19.07;75.9;4.33;NO
7.82;200;22411.01;5.28;343.08;593.48;12.27;75.26;3.08;NO
4.33;155.83;13351.41;8.6;321.79;387.52;7.81;77.88;2.61;NO
;214.04;10039.54;10.13;383.75;487.42;18.92;51.49;3.26;NO
8.84;246.07;21179.76;7.72;343.05;753.34;16.92;60.44;3.12;NO
5.29;160.43;9265.1;9.27;358.55;464.57;11.22;67.65;3.53;NO
7.87;182.65;25337.12;3.72;362.48;315.19;12.13;65.5;3.31;NO
7.15;173.27;30656.16;4.74;;525.88;14.57;57.82;4.31;NO
6.45;175.48;25257.65;7.63;263.4;376.52;15.76;;5.57;NO
;189.82;20278.34;6.8;;314.83;10.09;46.63;4.94;SI
5.65;171.75;16431.2;7.28;387.9;419.1;11.81;86.31;3.47;SI
7.65;239.49;15326.93;8.93;373.44;425.34;17.88;;4.04;SI
6.42;173.45;19617.31;7.4;321.87;391.67;18.45;46.35;2.67;SI
6.85;199.78;26296.95;7.34;354.25;397.54;22.14;51.53;3.82;SI
6.99;152.98;20389.59;2.65;331.25;460.15;15.49;69.67;3.72;SI
5.92;111.48;15413.9;6.9;347.86;277.59;13.26;74.19;4.19;SI
7.53;192.17;38468.41;6.62;290.64;449.32;13.06;58.77;4.15;SI
;233.06;36640.37;10;435.12;337.66;16.64;61.07;4.85;SI
5.32;142.81;728.75;8.4;;497;15.17;60.08;3.65;SI
9.04;227.36;34353.84;5.57;231.05;421.66;16.33;92.64;3.71;SI
5.95;151.69;12356.91;7.89;342.03;471.12;15.73;57.68;3.79;SI
6.2;195.44;19331.19;9.11;342.87;425.5;17.21;85.11;4.2;SI
9.06;246.63;27959.93;5.65;308.78;434.4;21.14;44.15;3.73;SI
7.14;210.5;17506.61;7.3;301.64;304.24;13.08;64.23;2.96;SI
6.23;208.67;12149.7;8.56;;325.34;13.25;33.38;1.64;SI
7.78;221.84;40483.73;6.15;302.33;563.72;11.75;51.56;4.6;SI
7.15;238.8;14708.47;8.61;450.91;365.74;14.97;53.14;2.63;SI
4.57;134.2;22520.42;8.19;403.34;372.2;11.26;69.05;3.09;SI
6.18;159.77;21532.52;8.06;272.44;509.77;11.01;100;2.95;SI
5.57;153.78;14574.66;8.01;;388.05;14.2;75.56;3.42;SI
;160.1;26561.57;7.19;322.09;372.62;11.46;57.15;5.14;SI
7.19;209.68;24909.78;6.69;;501.79;16.09;75.67;3.96;SI
;160.92;13943.24;8.4;380.77;344.15;15.21;75.58;4.14;SI
6.99;225.92;17679.35;7.25;377.87;527.21;13.79;87.84;5.18;SI
5.81;151.88;25419.55;7.87;313.36;494.15;14.65;77.37;3.44;SI
7.44;211.45;20003.5;7.24;;524.65;13.78;49.9;3.82;SI
4.37;144.24;17384.26;8.9;;402.27;13.72;55.99;3.03;SI
6.6;174.63;21607.48;6.58;308.93;657.57;9.06;68.83;3.59;SI
6.86;233.21;22603.65;6.63;368.11;412.43;16.93;62.56;4.31;SI
;176.77;19486.19;7.96;412.41;276.59;16.71;33.56;3.89;SI
6.79;197.3;22527.68;5.17;399.98;422.48;15.92;47.94;4.51;SI
8.56;244.8;14254.66;7.45;315.97;500.59;18.23;57.37;2.94;SI
;113.18;9943.93;6.34;354.3;415.34;19.68;23.08;3.79;SI
8.28;242.56;12715.81;5.13;371.3;561.76;15.22;61.8;3.75;SI
;157.78;13711.72;6.13;;289.75;13.17;60.46;5.07;SI
6.92;158.29;31177.13;6.98;;531.66;11.48;60;3.54;SI
5.64;159.14;27283.78;6.92;328.91;317.83;13.61;36.34;3.01;SI
6.61;231.57;26420.81;9.58;418.24;443.32;15.67;61.36;3.45;SI
4.95;153.21;20117.36;8.99;391.07;418.33;11.83;68.39;3.87;SI
5.91;184.39;40847.76;7.04;331.96;563.41;21.92;58.84;3.9;SI
;232.47;15873.03;6.37;313.26;365.63;10.39;59.66;4.71;SI
5.8;156.35;15671.12;8.41;;571.61;17.55;74.4;2.48;SI
5.04;154.42;23027.55;7.76;422.77;490.33;17.73;69.51;4.86;SI
6.16;185.79;37282.52;8.24;;411.18;16.16;84.93;3.48;SI
6.34;167.42;16364.16;8.1;312.39;372.51;21.89;91.07;3.36;SI
7.61;193.66;20511.62;6.65;;394.6;14.32;39.5;5.4;SI
5.78;200.4;25366.12;9.27;;525.53;10.68;54.08;5.06;SI
6.45;179.53;7990.89;6.2;377.27;386.54;15.43;74.99;6.31;SI
;179.58;47591.28;8.1;;548.87;13.8;58.22;3.69;SI
6.92;196.32;39251.18;8.49;317.38;487.5;14.7;41.75;4.5;SI
6.55;212.92;19236.01;7.96;;424.4;12.59;49.59;4.19;SI
6.39;185.84;17258.11;7.33;330.13;326.43;11.65;47.64;3.64;SI
6.1;160.61;13886.81;7.54;366.69;449.95;18.72;64.39;2.17;SI
6.36;208.2;23347.17;9;;336.59;14.17;;3.64;SI
6.27;190.2;14642.21;9.73;399.05;448.57;16.56;74.44;4.61;SI
;161.25;23469.22;8.39;;448.79;13.84;70.21;3.6;SI
7.49;197.33;26678.39;7.2;269.89;375.5;13.13;69.59;3.82;SI
7.64;205.07;17796.37;7.16;306.8;370.56;17.49;32.92;3.95;SI
9.1;263.82;38413.06;7.63;274.96;437.26;18.29;74.51;5.47;SI
8.04;224.86;6879.76;8.14;418.96;360.96;12.41;73.22;3.99;SI
7.3;149.08;15931.43;6.55;276.01;367.9;14.72;62.63;4.67;SI
8.23;191.28;16472.19;6.86;;354.93;15.18;63.42;2.19;SI
8.01;244.12;30566.77;7.71;307.99;309.93;22.64;61.58;3.42;SI
9.25;236.1;12855.35;5.78;276.29;329.92;12.61;55.62;3.57;SI
7.29;216.61;18979.98;7.67;358.98;384.69;14.16;53.31;3.63;SI
4.87;114.46;32858.48;7.47;365.3;533.3;16.15;45.65;5.07;SI
4.76;153.3;22777.53;6.84;;522.74;15.79;86.13;2.47;SI
5.14;111.99;11288.63;5.84;389.23;315.23;12.98;81.16;4.51;SI
4.89;159.32;38633.31;8.37;375.9;448.05;16.82;59.18;3.23;SI
9.45;224.82;21379.96;5.41;227.67;431.61;15.77;52.03;4.06;SI
7;219.44;26012.13;6.28;395.24;483.32;19.54;46.86;4.33;SI
8.32;262.22;21292.83;7.08;350.33;538.79;17.68;72.34;4.15;SI
6.64;188.91;32873.82;6.79;333.85;336.56;14.71;67.84;4.56;SI
;208.2;17835.31;8.93;351.21;278.26;10.21;52.25;5.71;SI
6.76;190.34;20666.45;6.78;;484.61;9.78;86.7;2.74;SI
8.63;186.64;13688.07;6.29;254.36;392.71;12.39;53.15;3.07;SI
9.79;254.43;12490.56;5.99;291.2;576.05;11.67;80.7;2.81;SI
5.38;185.54;36026.4;9.65;343.49;347.57;14;;3.63;SI
5.6;207.9;36873.56;7.63;404.67;511.44;13.52;85.35;3.9;SI
8.59;228.68;33013.48;8.17;;328.56;17.13;;3.7;SI
7.27;178.26;27468.68;6.04;314.39;400.62;13.67;87.13;3.92;SI
8.06;214.82;27172.89;6.37;253.48;490.28;12.46;65.4;3.32;SI
;222.27;18406.59;8.18;;395.45;9.48;79.85;3.71;SI
6.34;185.68;25927.27;8.2;321.82;490.97;10.67;51.55;4.56;SI
6.17;210.09;37922.91;6.76;;217.36;12.29;39.98;4.82;SI
4.53;169.74;30301.86;7.07;413.1;385.66;17.06;70.29;3.19;SI
8.95;205.89;15189.33;3.02;283.87;406.31;19.13;65.64;1.84;SI
7.21;163.05;14230.42;7.35;324.1;441.52;9.79;89.92;4.46;SI
4.24;134.89;29344.84;8.18;351.24;402.43;12.43;83.76;3.79;SI
8.26;216.55;23556.93;5.83;333.5;450.86;8.67;39.8;3.41;SI
7.89;220.35;14444.29;8.04;300.15;339.07;18.42;67.01;4.1;SI
4.86;145.79;14905.26;9.83;392.67;459.29;10.45;52.29;4.7;SI
5.23;152.09;24790.72;6.31;389;307.92;12.59;51.63;3.7;SI
7.02;170.13;20169.34;5.22;378.23;512.77;15.51;64.62;4.9;SI
4.94;166.71;19806.41;8.03;426.16;352.04;15.5;68.61;5.08;SI
9.64;226.47;30739.69;6.85;;278.25;13.73;69.27;4.61;SI
7.34;176.75;18543.5;7.13;278.36;427.93;14.77;85.68;4.98;SI
;241.07;22656.71;7.29;;315.6;16.4;46.14;3.74;SI
;181.63;22665.14;7.22;;521.87;10.99;76.13;3.29;SI
8.26;208.4;20109.03;6.23;235.77;528.07;14.41;74.98;4.53;SI
8.32;229.76;15077.85;7.05;;446.95;12.2;77.52;4.13;SI
;114.73;13677.99;9.98;441.83;524;11.38;71.15;3.29;SI
7.17;250.23;22431.03;7.7;;462.77;7.92;79.7;4.62;SI
6.94;180.82;15433.13;7.14;325.52;480.88;20.3;61.52;4.18;SI
;256.94;13766.33;5.08;290.31;384.91;17.73;58.35;3.98;SI
6.89;179.63;30722.3;6.58;284.89;393.49;7.7;63.29;2.9;SI
6.83;178.66;31461.2;7.94;302.54;415.1;19.37;;3.02;SI
8.25;195.54;28327.17;5.38;281.23;588.7;18.08;70.79;4.72;SI
8.92;278.62;21963.48;8.11;334.05;385.87;8.8;;5.82;SI
7.36;234.78;31409.06;7.4;283.51;428.75;22.17;87.4;4.55;SI
;168.41;26148.54;9.03;424.3;445.35;10.67;51.88;3.89;SI
9.75;269.64;10194.33;7.98;298.08;580;12.56;51.35;3.42;SI
6.84;184.39;41408.11;6.46;;398.05;13.17;68.89;3.41;SI
6.91;242.09;7764.44;8.05;440.64;487.93;18.38;45.31;4.34;SI
8.8;205.41;13121.17;6.7;263.48;399.28;18.91;67.96;4.03;SI
6.28;236.82;26188.16;9.36;328.5;470.82;16.35;68.91;2.66;SI
6.35;227.23;16174.43;7.57;411.29;355.53;9.97;82.49;4.94;SI
5.93;192.05;19240.06;8.99;400.16;459.26;9.89;52.16;3.59;SI
6.82;170.33;14053.22;8.12;;544.01;13.54;77.23;3.39;SI
7.34;198.17;35273.98;5.27;300.41;448.15;12.39;62.74;4.26;SI
7.15;195.92;22445.17;6.65;;484.44;12.37;57.53;5.39;SI
5.09;148;39659.88;8.42;;498.7;14.94;84.25;3.05;SI
8.59;228.16;29706.23;5.92;257.15;517.84;15.96;52.95;4.49;SI
8.15;220.2;23978.11;7.38;360.41;461.8;13.36;103.38;4.95;SI
9.27;274.02;38886.39;8.05;244.09;504.62;15.98;62.32;3.55;SI
7.02;203.2;12352.81;6.85;380.8;435.67;14.51;68.23;3.86;SI
7.83;249.34;13394.73;8.34;393.14;443.63;10.98;76.65;4.27;SI
6.64;202.41;14110.92;8.75;340.98;291.08;15.95;64.36;3.92;SI
6.76;216.53;32156.82;8.72;343.6;526.33;20.31;60.52;4.35;SI
7.24;196.98;29772.02;6.5;;322.37;14.15;50.66;4.76;SI
7.99;211.29;26951.86;7.51;;638;13.94;69.39;3.16;SI
7.61;225.49;14812.97;7.98;356.69;341.07;14.99;55.89;2.94;SI
6.08;182.41;31321.08;7.62;318.72;498.45;11.4;81.29;2.09;SI
7.89;269.57;15761.87;8.17;;490.9;7.03;78.5;3;SI
6.66;182.39;16828.88;7.07;355.9;434.66;16.62;69.41;3.97;SI
;208.3;23495.31;5.8;274.98;465.33;5.98;57.2;3.21;SI
7.22;179.56;21314.87;5.86;;435.57;11.88;79.39;3.97;SI
